"","venue_name","match_id","match_home_team","match_away_team","match_date","match_local_time","match_attendance","match_round","match_home_team_goals","match_home_team_behinds","match_home_team_score","match_away_team_goals","match_away_team_behinds","match_away_team_score","match_margin","match_winner","match_weather_temp_c","match_weather_type","player_id","player_first_name","player_last_name","player_height_cm","player_weight_kg","player_is_retired","player_team","guernsey_number","kicks","marks","handballs","disposals","effective_disposals","disposal_efficiency_percentage","goals","behinds","hitouts","tackles","rebounds","inside_fifties","clearances","clangers","free_kicks_for","free_kicks_against","brownlow_votes","contested_possessions","uncontested_possessions","contested_marks","marks_inside_fifty","one_percenters","bounces","goal_assists","time_on_ground_percentage","afl_fantasy_score","supercoach_score","centre_clearances","stoppage_clearances","score_involvements","metres_gained","turnovers","intercepts","tackles_inside_fifty","contest_def_losses","contest_def_one_on_ones","contest_off_one_on_ones","contest_off_wins","def_half_pressure_acts","effective_kicks","f50_ground_ball_gets","ground_ball_gets","hitouts_to_advantage","hitout_win_percentage","intercept_marks","marks_on_lead","pressure_acts","rating_points","ruck_contests","score_launches","shots_at_goal","spoils","subbed","player_position","date"
"1","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",11945,"Steven","May",193,0,FALSE,"Melbourne",1,14,5,7,21,18,86,0,0,0,2,7,2,0,1,2,0,0,7,10,1,0,9,0,0,90,81,NA,0,0,1,347,2,9,0,0,0,0,0,7,13,0,4,0,0,3,0,8,11.1,0,0,0,8,NA,"FB",2024-03-07
"2","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",11972,"Max","Gawn",209,0,FALSE,"Melbourne",11,8,1,6,14,9,64,0,1,37,4,2,0,2,6,6,4,0,9,8,0,0,0,0,0,82,87,NA,0,2,3,38,2,3,1,1,1,1,1,5,4,1,2,8,41.6,0,0,11,5.5,89,3,2,0,NA,"RK",2024-03-07
"3","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12034,"Adam","Tomlinson",194,0,FALSE,"Melbourne",20,10,3,2,12,9,75,0,0,0,2,7,0,0,0,2,0,0,7,3,2,0,9,0,0,100,53,NA,0,0,1,267,2,8,0,0,2,0,0,7,7,0,3,0,0,2,0,8,11.2,0,1,0,9,NA,"CHB",2024-03-07
"4","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12038,"Harry","Cunningham",181,0,FALSE,"Sydney",7,14,10,4,18,14,78,0,0,0,3,0,2,1,1,0,0,0,3,15,0,1,5,0,0,83,92,NA,0,1,0,253,3,5,0,0,1,0,0,12,11,0,2,0,0,1,0,15,10.1,0,0,1,4,NA,"INT",2024-03-07
"5","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12148,"Dane","Rampe",187,0,FALSE,"Sydney",24,13,6,6,19,15,79,0,0,0,0,6,1,0,1,1,0,0,7,10,0,0,4,0,0,87,70,NA,0,0,2,519,3,7,0,0,1,0,0,5,10,0,6,0,0,0,0,5,12.3,0,0,0,4,NA,"BPR",2024-03-07
"6","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12152,"Jack","Viney",179,0,FALSE,"Melbourne",7,19,2,11,30,21,70,2,0,0,7,1,9,7,7,4,2,0,14,17,0,0,2,0,1,79,123,NA,3,4,7,625,9,3,4,0,0,0,0,14,13,3,10,0,0,0,1,30,25.1,0,2,3,0,NA,"HFFL",2024-03-07
"7","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12223,"Brodie","Grundy",202,0,FALSE,"Sydney",4,12,4,11,23,10,44,0,0,33,6,1,5,9,9,3,4,0,15,7,2,0,4,0,0,78,118,NA,2,7,7,254,6,5,0,1,1,1,0,4,2,0,8,13,43.4,3,0,17,13.5,76,7,0,3,NA,"RK",2024-03-07
"8","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12255,"Jack","Billings",185,0,FALSE,"Melbourne",14,1,0,1,2,0,0,0,0,0,2,0,0,0,2,0,1,0,3,2,0,0,1,0,0,38,10,NA,0,0,1,37,2,0,1,0,0,0,0,3,0,2,2,0,0,0,0,6,1.2,0,0,0,0,NA,"SUB",2024-03-07
"9","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12275,"Jake","Lloyd",182,0,FALSE,"Sydney",44,8,5,5,13,11,85,0,0,0,2,1,1,0,2,2,1,0,5,9,0,0,3,0,0,83,56,NA,0,0,1,142,3,4,0,0,0,0,0,11,6,2,3,0,0,1,0,18,6.5,0,0,0,2,NA,"HBFR",2024-03-07
"10","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12280,"Christian","Salem",184,0,FALSE,"Melbourne",3,20,5,7,27,15,56,0,0,0,3,4,5,5,6,0,2,0,15,12,0,0,0,0,0,80,95,NA,1,4,1,558,6,4,0,0,0,0,0,9,11,0,12,0,0,0,0,14,14.1,0,0,0,0,NA,"RR",2024-03-07
